dataset,lang,domain1,domain2,overlap,iou,intersection,union
es-en,es,health,health,1.0,1.0,2072,2072
es-en,es,health,biological,0.5082046332046332,0.29940290019903326,1053,3517
es-en,es,health,merged,0.8252895752895753,0.5218187366493744,1710,3277
es-en,es,biological,health,0.42153722978382707,0.29940290019903326,1053,3517
es-en,es,biological,biological,1.0,1.0,2498,2498
es-en,es,biological,merged,0.7746196957566053,0.5563542265669925,1935,3478
es-en,es,merged,health,0.5866209262435678,0.5218187366493744,1710,3277
es-en,es,merged,biological,0.6638078902229846,0.5563542265669925,1935,3478
es-en,es,merged,merged,1.0,1.0,2915,2915
es-en,en,health,health,1.0,1.0,3265,3265
es-en,en,health,biological,0.5111791730474732,0.3169388530193695,1669,5266
es-en,en,health,merged,0.7908116385911179,0.5318228630278063,2582,4855
es-en,en,biological,health,0.4547683923705722,0.3169388530193695,1669,5266
es-en,en,biological,biological,1.0,1.0,3670,3670
es-en,en,biological,merged,0.776566757493188,0.5709134615384616,2850,4992
es-en,en,merged,health,0.6188878235858102,0.5318228630278063,2582,4855
es-en,en,merged,biological,0.6831255992329818,0.5709134615384616,2850,4992
es-en,en,merged,merged,1.0,1.0,4172,4172
pt-en,pt,health,health,1.0,1.0,2045,2045
pt-en,pt,health,biological,0.5163814180929095,0.29546726357022945,1056,3574
pt-en,pt,health,merged,0.7833740831295843,0.48796832165702103,1602,3283
pt-en,pt,biological,health,0.4085106382978723,0.29546726357022945,1056,3574
pt-en,pt,biological,biological,1.0,1.0,2585,2585
pt-en,pt,biological,merged,0.7702127659574468,0.5797903319743739,1991,3434
pt-en,pt,merged,health,0.5640845070422535,0.48796832165702103,1602,3283
pt-en,pt,merged,biological,0.701056338028169,0.5797903319743739,1991,3434
pt-en,pt,merged,merged,1.0,1.0,2840,2840
pt-en,en,health,health,1.0,1.0,2901,2901
pt-en,en,health,biological,0.4722509479489831,0.28529779258642235,1370,4802
pt-en,en,health,merged,0.7642192347466391,0.5154615205766101,2217,4301
pt-en,en,biological,health,0.41883216141852647,0.28529779258642235,1370,4802
pt-en,en,biological,biological,1.0,1.0,3271,3271
pt-en,en,biological,merged,0.7505350045857536,0.5538010376720054,2455,4433
pt-en,en,merged,health,0.6129388996405861,0.5154615205766101,2217,4301
pt-en,en,merged,biological,0.6787392867016865,0.5538010376720054,2455,4433
pt-en,en,merged,merged,1.0,1.0,3617,3617
