,Dataset,Split,Size
0,biological-es-en,train,119890
1,biological-es-en,val,3707
2,biological-es-en,test,3982
3,biological-pt-en,train,116692
4,biological-pt-en,val,3609
5,biological-pt-en,test,3871
6,health-biological-es-en,train,119890
7,health-biological-es-en,val,3707
8,health-biological-es-en,test,3982
9,health-biological-pt-en,train,116692
10,health-biological-pt-en,val,3609
11,health-biological-pt-en,test,3871
12,health-es-en,train,575482
13,health-es-en,val,5000
14,health-es-en,test,4961
15,health-pt-en,train,502987
16,health-pt-en,val,5000
17,health-pt-en,test,3738
18,merged-es-en,train,699079
19,merged-es-en,val,5000
20,merged-es-en,test,8943
21,merged-pt-en,train,623288
22,merged-pt-en,val,5000
23,merged-pt-en,test,7609
