dataset,lang,domain1,domain2,overlap,iou,intersection,union
es-en,es,health,health,1.0,1.0,26579,26579
es-en,es,health,biological,0.5780503404943752,0.4227615431181553,15364,36342
es-en,es,health,merged,0.9016140562097897,0.8092391854928579,23964,29613
es-en,es,biological,health,0.6114538146217217,0.4227615431181553,15364,36342
es-en,es,biological,biological,1.0,1.0,25127,25127
es-en,es,biological,merged,0.6905718947745453,0.49900785091881633,17352,34773
es-en,es,merged,health,0.8876213052818728,0.8092391854928579,23964,29613
es-en,es,merged,biological,0.6427142751314913,0.49900785091881633,17352,34773
es-en,es,merged,merged,1.0,1.0,26998,26998
es-en,en,health,health,1.0,1.0,24596,24596
es-en,en,health,biological,0.5886322979346235,0.425123326286117,14478,34056
es-en,en,health,merged,0.9007968775410636,0.8042397183200842,22156,27549
es-en,en,biological,health,0.6048124321163004,0.425123326286117,14478,34056
es-en,en,biological,biological,1.0,1.0,23938,23938
es-en,en,biological,merged,0.6859386749101847,0.5032641677138566,16420,32627
es-en,en,merged,health,0.8823927675335537,0.8042397183200842,22156,27549
es-en,en,merged,biological,0.6539487833047911,0.5032641677138566,16420,32627
es-en,en,merged,merged,1.0,1.0,25109,25109
pt-en,pt,health,health,1.0,1.0,26630,26630
pt-en,pt,health,biological,0.5583176868193767,0.4038242164158835,14868,36818
pt-en,pt,health,merged,0.8646639128802103,0.7491053419220509,23026,30738
pt-en,pt,biological,health,0.5933908045977011,0.4038242164158835,14868,36818
pt-en,pt,biological,biological,1.0,1.0,25056,25056
pt-en,pt,biological,merged,0.6799169859514687,0.484610570632076,17036,35154
pt-en,pt,merged,health,0.848603228421906,0.7491053419220509,23026,30738
pt-en,pt,merged,biological,0.6278469816466425,0.484610570632076,17036,35154
pt-en,pt,merged,merged,1.0,1.0,27134,27134
pt-en,en,health,health,1.0,1.0,23767,23767
pt-en,en,health,biological,0.5702865317456978,0.406392420244663,13554,33352
pt-en,en,health,merged,0.8626246476206505,0.7436343852013058,20502,27570
pt-en,en,biological,health,0.5857642940490082,0.406392420244663,13554,33352
pt-en,en,biological,biological,1.0,1.0,23139,23139
pt-en,en,biological,merged,0.6739271360041489,0.48960753532182105,15594,31850
pt-en,en,merged,health,0.8435301378317218,0.7436343852013058,20502,27570
pt-en,en,merged,biological,0.6415963793458136,0.48960753532182105,15594,31850
pt-en,en,merged,merged,1.0,1.0,24305,24305
